G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Thu Oct 19 2017,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,108,92,1,0,W 1,
2,Sat Oct 21 2017,10:30p ET,,Box Score,,Phoenix Suns,W,,130,88,2,0,W 2,
3,Tue Oct 24 2017,10:30p ET,,Box Score,,Utah Jazz,W,,102,84,3,0,W 3,
4,Thu Oct 26 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,W,,104,103,4,0,W 4,
5,Sat Oct 28 2017,10:30p ET,,Box Score,,Detroit Pistons,L,,87,95,4,1,L 1,
6,Mon Oct 30 2017,10:30p ET,,Box Score,,Golden State Warriors,L,,113,141,4,2,L 2,
7,Wed Nov 1 2017,10:30p ET,,Box Score,,Dallas Mavericks,W,,119,98,5,2,W 1,
8,Sat Nov 4 2017,3:30p ET,,Box Score,,Memphis Grizzlies,L,,104,113,5,3,L 1,
9,Sun Nov 5 2017,3:30p ET,,Box Score,,Miami Heat,L,,101,104,5,4,L 2,
10,Tue Nov 7 2017,8:30p ET,,Box Score,@,San Antonio Spurs,L,,107,120,5,5,L 3,
11,Fri Nov 10 2017,9:00p ET,,Box Score,@,Oklahoma City Thunder,L,,111,120,5,6,L 4,
12,Sat Nov 11 2017,7:00p ET,,Box Score,@,New Orleans Pelicans,L,,103,111,5,7,L 5,
13,Mon Nov 13 2017,10:30p ET,,Box Score,,Philadelphia 76ers,L,,105,109,5,8,L 6,
14,Fri Nov 17 2017,7:30p ET,,Box Score,@,Cleveland Cavaliers,L,OT,113,118,5,9,L 7,
15,Sat Nov 18 2017,7:00p ET,,Box Score,@,Charlotte Hornets,L,,87,102,5,10,L 8,
16,Mon Nov 20 2017,7:30p ET,,Box Score,@,New York Knicks,L,,85,107,5,11,L 9,
17,Wed Nov 22 2017,7:30p ET,,Box Score,@,Atlanta Hawks,W,,116,103,6,11,W 1,
18,Sat Nov 25 2017,10:00p ET,,Box Score,@,Sacramento Kings,W,,97,95,7,11,W 2,
19,Mon Nov 27 2017,10:30p ET,,Box Score,,Los Angeles Lakers,W,,120,115,8,11,W 3,
20,Thu Nov 30 2017,10:30p ET,,Box Score,,Utah Jazz,L,,107,126,8,12,L 1,
21,Sat Dec 2 2017,2:00p ET,,Box Score,@,Dallas Mavericks,L,,82,108,8,13,L 2,
22,Sun Dec 3 2017,7:00p ET,,Box Score,@,Minnesota Timberwolves,L,,106,112,8,14,L 3,
23,Wed Dec 6 2017,10:30p ET,,Box Score,,Minnesota Timberwolves,L,,107,113,8,15,L 4,
24,Sat Dec 9 2017,3:30p ET,,Box Score,,Washington Wizards,W,,113,112,9,15,W 1,
25,Mon Dec 11 2017,10:30p ET,,Box Score,,Toronto Raptors,W,,96,91,10,15,W 2,
26,Wed Dec 13 2017,7:00p ET,,Box Score,@,Orlando Magic,W,,106,95,11,15,W 3,
27,Fri Dec 15 2017,7:00p ET,,Box Score,@,Washington Wizards,L,,91,100,11,16,L 1,
28,Sat Dec 16 2017,8:00p ET,,Box Score,@,Miami Heat,L,,85,90,11,17,L 2,
29,Mon Dec 18 2017,8:30p ET,,Box Score,@,San Antonio Spurs,L,,91,109,11,18,L 3,
30,Wed Dec 20 2017,10:30p ET,,Box Score,,Phoenix Suns,W,,108,95,12,18,W 1,
31,Fri Dec 22 2017,8:00p ET,,Box Score,@,Houston Rockets,W,,128,118,13,18,W 2,
32,Sat Dec 23 2017,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,112,115,13,19,L 1,
33,Tue Dec 26 2017,10:30p ET,,Box Score,,Sacramento Kings,W,,122,95,14,19,W 1,
34,Fri Dec 29 2017,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,121,106,15,19,W 2,
35,Sun Dec 31 2017,7:00p ET,,Box Score,,Charlotte Hornets,W,,106,98,16,19,W 3,
36,Tue Jan 2 2018,10:30p ET,,Box Score,,Memphis Grizzlies,W,,113,105,17,19,W 4,
